no,업체명,제품명,주성분,첨가제,허가일,제조/수입,모양,장축,단축,수입제조국,주성분영문
79,경남제약(주),경남아시클로버크림(아시클로버),아시클로버,"프로필렌글리콜,스테아르산,카보머940,부틸레이티드히드록시톨루엔,토코페롤아세테이트,소르비탄세스퀴올레에이트,디메치콘,파라옥시벤조산프로필,트롤아민,에데트산나트륨수화물,세탄올,폴리소르베이트60,친유형글리세릴스테아레이트,트리옥타노인,유동파라핀,파라옥시벤조산메틸,정제수",2006-12-18,제조,,,,,Acyclovir
80,경남제약(주),경남티어앤톡점안액(트레할로스수화물)(1회용),트레할로스수화물,"염화나트륨,트로메타몰,염산,주사용수,히알루론산나트륨",2019-09-30,제조,,,,,Trehalose Hydrate
81,경동제약(주),경동아세트아미노펜정(수출용),아세트아미노펜,"스테아르산,미결정셀룰로오스,이산화규소,전분글리콜산나트륨",1976-06-17,제조,원형,9.55,9.55,,Acetaminophen
82,경동제약(주),경동아스피린장용정,아스피린,"전호화전분,탤크,분말셀룰로오스,옥수수전분,아크릴이즈 흰색(93O18509)",2013-08-30,제조,원형,7.0,7.0,,Aspirin
83,경동제약(주),경동파니틴정10밀리그램(파모티딘),파모티딘,"오파드라이흰색(85F18422),미결정셀룰로오스,유당수화물,황색203호알루미늄레이크,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,청색1호알루미늄레이크",2021-08-19,제조,원형,6.6,6.6,,Famotidine
84,경동제약(주),경동판테놀연고(덱스판테놀),덱스판테놀,"정제라놀린,프로필렌글리콜,세틸팔미테이트,토코페롤아세테이트,글리세린모노스테아레이트,메틸파라벤,스위트허브향(HF-92304),프로필파라벤,세탄올,폴리소르베이트60,백색바셀린,유동파라핀,스테아릴알코올,알로에베라 겔,정제수",2021-11-30,제조,,,,,Dexpanthenol
85,(주)경보제약,경보아스피린장용정,아스피린,"미결정셀룰로오스102,스테아르산,탭쉴드흰색(39W261),탭쉴드흰색(93W280),전호화전분,경질무수규산,히드록시프로필셀룰로오스",2012-09-17,제조,원형,7.3,7.3,,Aspirin
86,경진제약(주),경진방풍통성산정(수출용),당귀/생강/작약/천궁/연교/박하/방풍/마황/대황/망초/길경/황금/석고/치자/형개/백출/감초/활석,"유당수화물,탭쉴드노란색(99Y956),스테아르산마그네슘,옥수수전분,건조엑스로서",2021-10-19,제조,,,,,Angelica Gigas Root/Raw Ginger/Peony Root/Cnidium Rhizome/Forsythia Fruit/Mentha Herb/Saposhnikovia Root/Ephedra Herb/Rhubarb/Natrii Sulfas/Platycodon Root/Scutellaria Root/Gypsum Fibrosum/Gardenia Fruit/Schizonepeta Spike/Atractylodes Rhizome White/Licorice/Talc
87,동아제약(주),계안겔(수출용),디펜히드라민/디부카인염산염/크로타미톤/L-멘톨/dl-캄파/에녹솔론,"라우로마크로골,트롤아민,이소프로판올,카보머,에탄올,정제수",2018-03-30,제조,,,,,Diphenhydramine/Dibucaine Hydrochloride/Crotamiton/L-Menthol/DL-Camphor/Enoxolone
88,(주)서흥,고가이큐캡슐(수출명:gogaiQCapsules),폴리사카리드철착염/시아노코발라민1000배산/폴산,"유당수화물,스테아르산마그네슘,포비돈,캡슐",2006-04-24,제조,장방형,19.1,6.91,,Polysaccharide Iron Complex/Cyanocobalamin Powder 0.1%/Folic Acid
89,유니메드제약(주),고닐고포르테경고제,살리실산/락트산,"정제라놀린,폴리옥시에틸렌라놀린,박리지,스폰지,백납,반창고",2002-04-22,제조,,,,,Salicylic Acid/Lactic Acid
90,고려제약(주),고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스5%크림(INNOVIRAX5%Cream),아시클로버,"프로필렌글리콜,시트르산수화물,스테아르산,파라옥시벤조산프로필,세탄올,폴리소르베이트60,유동파라핀,소르비탄스테아레이트,파라옥시벤조산메틸,정제수",1991-05-09,제조,,,,,Acyclovir
91,(주)종근당,고운자임맘정,유비데카레논/콜레칼시페롤농축분말/토코페롤아세테이트 2배산/제피아스코르브산/폴산/리보플라빈/티아민질산염/니코틴산아미드/피리독신염산염/시아노코발라민 1%/비오틴/판토텐산칼슘/푸마르산철/산화제이구리/산화아연/황산망간수화물/산화마그네슘,"저치환도히드록시프로필셀룰로오스,스테아르산,오파드라이80W44106,카르나우바납,전분글리콜산나트륨,오파드라이 62W28547,히드록시프로필셀룰로오스,오파드라이OY-C-7000A",2012-05-24,제조,기타,15.0,7.0,,Ubidecarenone/Cholecalciferol Concentrate Powder/Tocopherol Acetate Powder 50%/Ascorbic Acid Coated/Folic Acid/Riboflavin/Thiamine Nitrate/Nicotinamide/Pyridoxine Hydrochloride/Cyanocobalamin 1%/Biotin/Calcium Pantothenate/Ferrous Fumarate/Cupric Oxide/Zinc Oxide/Manganese Sulfate Hydrate/Magnesium Oxide
92,대화제약(주),고칼디정,탄산칼슘/콜레칼시페롤농축분말,"미결정셀룰로오스,탭쉴드녹색(29G924),포비돈,스테아르산마그네슘,전호화전분,전분글리콜산나트륨",2013-03-08,제조,장방형,20.6,8.8,,Calcium Carbonate/Cholecalciferol Concentrate Powder
93,태극제약(주),골드본드안티이치크림(수출용),L-멘톨/프라목신염산염,"수산화나트륨,글리세린모노스테아레이트,토코페롤아세테이트,폴리소르베이트 60,파라옥시벤조산프로필,카보머호모폴리머,유동파라핀,스테아릴알코올,파라옥시벤조산메틸,알로에베라겔,미리스트산이소프로필,농글리세린,살리실산메틸,정제수",2013-02-28,제조,,,,,L-Menthol/Pramoxine Hydrochloride
94,(주)서흥,골드타민연질캡슐,토코페롤아세테이트/아스코르브산/β-카로틴현탁액30%/유비데카레논/산화아연/셀레늄가루 0.1%,"콩기름,레시틴,에틸바닐린,숙신산젤라틴,소르비톨액(비결정성),산화티탄,적색40호,백납,농글리세린,청색1호",2008-02-28,제조,타원형,22.9,9.3,,Tocopherol Acetate/Ascorbic Acid/Beta-Carotene Suspension 30%/Ubidecarenone/Zinc Oxide/Selenium Powder 0.1%
95,신일제약(주),골사민캡슐(결정글루코사민황산염)(수출명 : NEOCOMIN),결정글루코사민황산염,"유당수화물,스테아르산마그네슘,경질캡슐",1999-08-11,제조,장방형,19.1,6.63,,Crystallized Glucosamine Sulfate
96,광동제약(주),광동네모파스카타플라스마,살리실산글리콜/L-멘톨/토코페롤아세테이트/황백연조엑스(3.3-->1),"바닐부틸에테르,실리코나이즈드폴리에스테르필름,고무계점착용액,정제수,부직포",2015-10-12,제조,,,,,Glycol Salicylate/L-Menthol/Tocopherol Acetate/Phellodendron Bark Soft Extract (3.3→1)
97,광동제약(주),광동동의한방고카타플라스마,황백연조엑스(3.3→1)/치자연조엑스(3.0→1)/산초30%에탄올연조엑스(3.3→1)/살리실산글리콜/L-멘톨/d-캄파/글리시리진산/토코페롤아세테이트,"타르타르산,폴리프로필렌필름,밀착포,폴리소르베이트80(=트윈80),젤라틴,폴리아크릴산나트륨,에데트산나트륨수화물,소르비탄세스퀴올레이트,폴리비닐알코올,카르복시메틸셀룰로오스나트륨,농글리세린,카올린,건조수산화알루미늄겔,정제수,부직포",2004-04-19,제조,,,,,Phellodendron Bark Soft Extract (3.3→1)/Gardenia Fruit Soft Extract (3.0→1)/Zanthoxylum Peel 30% Ethanol Soft Extract (3.3→1)/Glycol Salicylate/L-Menthol/D-Camphor/Glycyrrhizic Acid/Tocopherol Acetate
98,광동제약(주),광동라니티딘염산염정75밀리그램,라니티딘염산염,"크로스카르멜로오스나트륨,오파드라이분홍색(80W44083),미결정셀룰로오스,이산화규소,스테아르산마그네슘",2019-03-15,제조,,,,,Ranitidine Hydrochloride
99,광동제약(주),광동리버샷액,간가수분해물(4→1)/우르소데옥시콜산/리보플라빈포스페이트나트륨,"베타덱스,시트르산수화물,벤조산나트륨,드링크향 C1104154,드링크향 J120637,고과당,자일리톨,백당,수크랄로스,폴리옥시40수소화피마자유,열대과일향 L090319,아세설팜칼륨,DL-사과산,에탄올,정제수",2015-06-02,제조,,,,,Liver Hydrolysate (4→1)/Ursodeoxycholic Acid/Riboflavin Sodium Phosphate
100,광동제약(주),광동리버샷정,간가수분해물(4→1)/우르소데옥시콜산/리보플라빈,"무수인산수소칼슘,라우릴황산나트륨,솔향 KBR-141261,크로스카르멜로스나트륨,미결정셀룰로오스,오파그로스2클리어97W19196,포비돈,스테아르산마그네슘,오파드라이Ⅱ갈색(85G56954)
,오파드라이 흰색(OY-C-7000A)",2016-01-15,제조,원형,7.78,7.78,,Liver Hydrolysate (4→1)/Ursodeoxycholic Acid/Riboflavin
101,광동제약(주),광동리버샷정300,간가수분해물(4→1)/우르소데옥시콜산/리보플라빈,"무수인산수소칼슘,라우릴황산나트륨,오파드라이II갈색(85G56954),미결정셀룰로오스,크로스카멜로스나트륨,솔향(KBR-141261),포비돈,스테아르산마그네슘,오파드라이흰색(OY-C-7000A),오파글로스2투명(97W19196)",2020-06-19,제조,,,,,Liver Hydrolysate (4→1)/Ursodeoxycholic Acid/Riboflavin
102,광동제약(주),광동만수고골드플라스타,살리실산글리콜/l-멘톨/dl-캄파/토코페롤아세테이트/황백연조엑스 (3.3→1)/치자연조엑스 (3.0→1),"부틸히드록시톨루엔,산화티탄,실리코나이즈드폴리에스테르필름,유동파라핀,스티렌이소프렌스티렌블럭공중합체,지방족계탄화수소수지,부직포",2018-05-23,제조,,,,,Glycol Salicylate/L-Menthol/DL-Camphor/Tocopherol Acetate/Phellodendron Bark Soft Extract (3.3→1)/Gardenia Fruit Soft Extract (3.0→1)
103,광동제약(주),광동벤포파워액,벤포티아민/니코틴산아미드/피리독신염산염/리보플라빈/산화아연/우르소데옥시콜산,"베타덱스,시트르산수화물,벤조산나트륨,펙틴,에틸바닐린,드링크향 KBR-110978,고과당,아스파탐,염화나트륨,수크랄로스,혼합과일향 KBR-160560,효소처리스테비아,시트르산나트륨수화물,딸기향 KBR-140705,에탄올,정제수",2017-02-28,제조,,,,,Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Riboflavin/Zinc Oxide/Ursodeoxycholic Acid
104,광동제약(주),광동벤포파워제트액,벤포티아민/니코틴산아미드/피리독신염산염/리보플라빈/산화아연/우르소데옥시콜산,"베타덱스,시트르산수화물,벤조산나트륨,펙틴,에틸바닐린,고과당,염화나트륨,수크랄로스,시트르산나트륨수화물,조합향료혼합과일향KBR-160560,조합향료드링크향KBR-110978,조합향료딸기향KBR-140705,에탄올,정제수",2019-05-23,제조,,,,,Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Riboflavin/Zinc Oxide/Ursodeoxycholic Acid
105,광동제약(주),광동비타민A유연질캡슐20만아이유(수출용),비타민A유,"파라옥시벤조산프로필,에칠바닐린,젤라틴,토코페롤,파라옥시벤조산메틸,농글리세린",2010-08-27,제조,,,,,Vitamin A Oil
106,광동제약(주),광동비타민A유연질캡슐(수출용),비타민A유,"콩기름,파라옥시벤조산프로필,에칠바닐린,젤라틴,산화티탄,토코페롤,적색40호,파라옥시벤조산메틸,농글리세린,청색1호",2010-08-27,제조,,,,,Vitamin A Oil
107,광동제약(주),광동아스피린장용정100mg,아스피린,"미결정셀룰로오스102,스테아르산,탭쉴드흰색(39W261),탭쉴드흰색(93W280),전호화전분,경질무수규산,히드록시프로필셀룰로오스",2017-04-20,제조,원형,7.06,7.06,,Aspirin
108,광동제약(주),광동알디액,리보플라빈/니코틴산아미드/피리독신염산염/토코페롤아세테이트/티아민질산염/D-판테놀/로얄젤리,"시트르산수화물,벤조산나트륨,폴리옥실40·경화피마자유,고과당,조합향료레몬라임향(KBR-191144),조합향료드링크향(KBR-110978),시트르산나트륨수화물,조합향료파인애플향(#P-23045),에탄올,정제수",2019-10-18,제조,,,,,Riboflavin/Nicotinamide/Pyridoxine Hydrochloride/Tocopherol Acetate/Thiamine Nitrate/Dexpanthenol/Royal Jelly
109,광동제약(주),광동알벤다졸정(수출용),알벤다졸,"스테비오사이드,미결정셀룰로오스,실리콘디옥사이드,유당수화물,폴리에틸렌글리콜6000,산화티탄,포비돈,스테아르산마그네슘,히프로멜로오스 2910,폴리소르베이트 80,스트로베리미크론,전분글리콜산나트륨,식약청인정 타르색소,바닐린,라우릴 황산나트륨",2010-04-21,제조,,,,,Albendazole
110,광동제약(주),광동알벤다졸정(알벤다졸),알벤다졸,"라우릴황산나트륨,카르복시메틸셀룰로오스칼륨,폴리소르베이트80,황색5호,오렌지미크론,히프로멜로오스,유당수화물,아스파탐,폴리에틸렌글리콜6000,콜로이드성이산화규소,스테아르산마그네슘,탤크,옥수수전분,전분글리콜산나트륨,D-만니톨,히드록시프로필셀룰로오스",2020-11-26,제조,,,,,Albendazole
111,광동제약(주),광동에너릭정,카페인무수물/티아민질산염/피리독신염산염/시아노코발라민,"오파드라이88A265004브라운,미결정셀룰로오스,유당수화물,스테아르산마그네슘,오파드라이 OY-C-7000A 화이트,전분글리콜산나트륨,오파드라이62W28547실버,히드록시프로필셀룰로오스",2022-03-28,제조,원형,8.7,8.7,,Anhydrous Caffeine/Thiamine Nitrate/Pyridoxine Hydrochloride/Cyanocobalamin
112,광동제약(주),광동치올페이스트(히노키티올),히노키티올,"페퍼민트향(KBR-130113),라우릴황산나트륨,수산화나트륨,토코페롤아세테이트,카보머974P,폴리에틸렌글리콜400,부틸히드록시톨루엔,자일리톨,이산화규소,에데트산나트륨수화물,잔탄검,부틸렌글리콜,경질유동파라핀,농글리세린,폴리에틸렌글리콜1500,아세설팜칼륨,l-멘톨,편백향(KTR-210897),에탄올",2022-11-18,제조,,,,,Hinokitiol
113,광동제약(주),광동큐디액,리보플라빈포스페이트나트륨/니코틴산아미드/피리독신염산염/토코페롤아세테이트/유비데카레논/로얄젤리,"시트르산수화물,고과당,에데트산나트륨수화물,소르브산칼륨,레몬-라임KM-041030,폴리옥실40경화피마자유,에탄올,파인애플향 #P-23045,정제수",2006-07-07,제조,,,,,Riboflavin Sodium Phosphate/Nicotinamide/Pyridoxine Hydrochloride/Tocopherol Acetate/Ubidecarenone/Royal Jelly
114,광동제약(주),광동탕에이액,감초/건강/육계/대추/작약/아세트아미노펜,"시트르산수화물,펙틴,인산,고과당,아스파탐,염화나트륨,백당,잔탄검,시트르산나트륨수화물,아세설팜칼륨,쌍화향 KBR-150110,정제수",2014-09-23,제조,,,,,Licorice/Ginger/Cinnamon Bark/Jujube/Peony Root/Acetaminophen
115,광동제약(주),광동탕엠액,감초/육계/행인/마황/아세트아미노펜,"시트르산수화물,펙틴,인산,고과당,염화나트륨,백당,잔탄검,시트르산나트륨수화물,아세설팜칼륨,쌍화향 KBR-150110,정제수",2019-12-26,제조,,,,,Licorice/Cinnamon Bark/Apricot Kernel/Ephedra Herb/Acetaminophen
116,광동제약(주),광동파워센액(시트룰린말산염),시트룰린말산염,"수산화나트륨,벤조산나트륨,오렌지에센스,자일리톨,염화나트륨,백당,수크랄로스,정제수",2009-11-13,제조,,,,,Citrulline Malate
